"Comunidad";"Provincia";"Poblacion";"Latitud";"Longitud";"Habitantes";"Hombres";"Mujeres"
"País Vasco";"Vizcaya";"Sestao";"43.30964";"-3.00694";29476;14300;15176
"Valencia";"Valencia/València";"Xàtiva";"38.98887";"-0.5156137";29386;14476;14910
"Canarias";"Las Palmas";"Ingenio";"27.92047";"-15.44246";29319;14879;14440
"Islas Baleares";"Illes Balears";"Inca";"39.71875";"2.915544";29308;14965;14343
"Andalucía";"Cádiz";"San Roque";"36.20975";"-5.384572";29249;14793;14456
"País Vasco";"Vizcaya";"Galdakao";"43.23056";"-2.845833";29226;14468;14758
"Murcia";"Murcia";"Totana";"37.77124";"-1.501004";29211;15059;14152
"Islas Baleares";"Illes Balears";"Ciutadella de Menorca";"40.00232";"3.839262";29160;14591;14569
"Islas Baleares";"Illes Balears";"Maó";"39.88961";"4.264211";29125;14453;14672
"Canarias";"Las Palmas";"Agüimes";"27.90411";"-15.44564";28924;14814;14110
"Valencia";"Valencia/València";"Sueca";"39.20264";"-0.3106423";28908;14450;14458
"Valencia";"Alicante/Alacant";"Crevillent";"38.24703";"-0.803492";28609;14647;13962
"Andalucía";"Cádiz";"Rota";"36.61699";"-6.358202";28516;14300;14216
"Andalucía";"Sevilla";"Morón de la Frontera";"37.1223";"-5.451869";28455;14149;14306
"Valencia";"Valencia/València";"Oliva";"38.91939";"-0.1226779";28419;14376;14043
"Catalunya";"Barcelona";"Sant Pere de Ribes";"41.2591";"1.775418";28353;14365;13988
"Andalucía";"Sevilla";"Carmona";"37.47102";"-5.642328";28344;14321;14023
"Valencia";"Valencia/València";"Algemesí";"39.19387";"-0.4347581";28308;14092;14216
"Valencia";"Castellón/Castelló";"Vinaròs";40471;"0.4747435";28273;14145;14128
"País Vasco";"Vizcaya";"Durango";"43.16907";"-2.632655";28229;13878;14351
"Galicia";"A Coruña";"Culleredo";"43.31584";"-8.384923";28227;13759;14468
"Andalucía";"Sevilla";"Coria del Río";"37.28506";"-6.051814";28100;14157;13943
"Catalunya";"Barcelona";"Sant Vicenç dels Horts";"41.39362";"2.00987";27701;13897;13804
"Andalucía";"Granada";"Almuñécar";"36.73454";"-3.690736";27696;13677;14019
"Catalunya";"Barcelona";"Sitges";"41.23478";"1.811222";27668;13801;13867
"Galicia";"A Coruña";"Ribeira";"42.57627";"-9.023945";27518;13639;13879
"País Vasco";"Guipúzcoa";"Eibar";"43.18418";"-2.473289";27419;13337;14082
"Catalunya";"Barcelona";"Premià de Mar";"41.48958";"2.356536";27399;13567;13832
"Valencia";"Alicante/Alacant";"Novelda";"38.3853";"-0.7653857";27135;13553;13582
"Valencia";"Valencia/València";"Catarroja";"39.40274";"-0.4035184";27035;13475;13560
"Galicia";"A Coruña";"Ames";"42.9";"-8.633333";26983;13079;13904
"Catalunya";"Barcelona";"Martorell";"41.47355";"1.927682";26681;13833;12848
"Valencia";"Castellón/Castelló";"Benicarló";"40.4187";"0.4231017";26655;13507;13148
"Catalunya";"Tarragona";"Salou";"41.07677";"1.144041";26649;14429;12220
"Castilla La Mancha";"Albacete";"Villarrobledo";"39.26726";"-2.607643";26642;13377;13265
"Andalucía";"Almería";"Níjar";"36.96576";"-2.20651";26516;14653;11863
"Valencia";"Alicante/Alacant";"Campello (el)";"38.42892";"-0.3978871";26511;13199;13312
"Madrid";"Madrid";"Villaviciosa de Odón";"40.3571";"-3.90059";26475;12917;13558
"Andalucía";"Sevilla";"Lebrija";"36.91951";"-6.078367";26434;13321;13113
"Murcia";"Murcia";"Caravaca de la Cruz";"38.10899";"-1.866033";26415;13280;13135
"Catalunya";"Barcelona";"Sant Andreu de la Barca";"41.44718";"1.975935";26401;13423;12978
"Catalunya";"Barcelona";"Pineda de Mar";"41.62751";"2.689454";26203;13335;12868
"Andalucía";"Sevilla";"Camas";"37.40087";"-6.032911";26015;12750;13265
"Galicia";"Pontevedra";"Marín";"42.39147";"-8.699853";25969;13000;12969
"Andalucía";"Huelva";"Lepe";"37.25432";"-7.203348";25886;13332;12554
"Extremadura";"Badajoz";"Villanueva de la Serena";"38.97399";"-5.800302";25838;12666;13172
"Galicia";"Pontevedra";"Cangas";"42.26471";"-8.782845";25748;12753;12995
"Castilla La Mancha";"Albacete";"Almansa";"38.86941";"-1.097517";25727;12760;12967
"Valencia";"Castellón/Castelló";"Onda";"39.9653";"-0.2626455";25691;13149;12542
"Murcia";"Murcia";"Jumilla";"38.47595";"-1.322032";25685;13367;12318
"Valencia";"Valencia/València";"Quart de Poblet";"39.48259";"-0.4450733";25499;12583;12916
"Catalunya";"Tarragona";"Valls";"41.28728";"1.251579";25092;12672;12420
"Catalunya";"Barcelona";"Santa Perpètua de Mogoda";"41.53486";"2.178988";25048;12889;12159
"Valencia";"Castellón/Castelló";"Almazora/Almassora";"39.94497";"-0.0633176";24963;12645;12318
"La Rioja";"La Rioja";"Calahorra";"42.30372";"-1.965034";24787;12329;12458
"Andalucía";"Jaén";"Martos";"37.72278";"-3.966259";24655;12106;12549
"Canarias";"Las Palmas";"Gáldar";"28.14404";"-15.65036";24405;12285;12120
"Andalucía";"Almería";"Adra";"36.74807";"-3.022522";24373;12338;12035
"Canarias";"Santa Cruz de Tenerife";"Candelaria";"28.35276";"-16.37013";24319;11964;12355
